Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC,wRC_per_PA,wRC_plus,wRC_plus_scaled
29,1196790784,G. Gallaher,Gavin Gallaher,Gallaher,Gavin,3B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,0.426,23.8,61,1060,281,237,0.325,0.409,0.603,1.013,0.278,16.0%,11.7%,1.36,6.0%,0.89,13.94,0.331,64.6%,0.426,71.4%,59.85299999999999,0.21299999999999997,19.80756496817804,140.73448258878395
30,1202676992,T. Haskins,Trevor Haskins,Haskins,Trevor,3B,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.399,15.4,51,824,244,222,0.324,0.37,0.572,0.942,0.248,13.1%,4.9%,2.67,5.7%,0.9,15.86,0.324,67.0%,0.399,0.0%,46.482,0.1905,17.649289488334386,109.29477586239382
31,1093154816,A. Nessler,AJ Nessler,Nessler,AJ,LF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,R,0.394,15.1,55,925,255,207,0.324,0.439,0.454,0.893,0.13,9.0%,14.1%,0.64,2.0%,0.78,41.40,0.341,63.7%,0.394,88.9%,47.515,0.18633333333333332,17.2593827059493,111.72370541503469
32,1140709632,H. Stokely,Hunter Stokely,Stokely,Hunter,1B,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,0.413,20.6,61,996,278,238,0.324,0.41,0.555,0.965,0.231,21.2%,10.1%,2.11,5.0%,0.87,17.00,0.375,58.3%,0.413,100.0%,56.20233333333332,0.20216666666666663,18.747886020944364,132.15054052343297
33,1094657536,L. Cantwell,Luke Cantwell,Cantwell,Luke,1B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,L,R,0.43,23.9,55,1056,272,200,0.32,0.482,0.51,0.992,0.19,14.3%,20.2%,0.71,2.2%,0.82,33.33,0.362,61.9%,0.43,100.0%,58.842666666666666,0.21633333333333332,20.12457878438067,138.3588499737293
34,1303532033,J. Ragsdale,Josiah Ragsdale,Ragsdale,Josiah,CF,Boston College,BC,227,Boston College,BBC,L,L,0.396,15.3,56,942,250,207,0.319,0.418,0.498,0.915,0.179,21.2%,13.2%,1.61,2.0%,1.07,41.40,0.399,58.2%,0.396,85.3%,47.0,0.188,17.45781407849832,110.51276764193688
35,1100573952,A. Teel,Aidan Teel,Teel,Aidan,CF,University of Virginia,UVA,5415,Virginia,BBC,L,R,0.425,19.6,50,862,233,186,0.317,0.442,0.543,0.985,0.226,12.9%,13.3%,0.97,3.0%,1.02,26.57,0.344,62.3%,0.425,100.0%,49.43483333333333,0.21216666666666664,19.749831245880294,116.23787765073492
36,1828778419,B. Watters,Bino Watters,Watters,Bino,LF,University of Notre Dame,ND,225,Notre Dame,BBC,L,L,0.422,16.5,44,848,202,164,0.317,0.436,0.549,0.984,0.232,12.9%,15.8%,0.81,4.5%,0.91,18.22,0.328,65.6%,0.422,75.0%,42.352666666666664,0.20966666666666667,19.50613091018149,99.58532787978166
37,1272689664,C. Hincks,Connor Hincks,Hincks,Connor,2B,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,0.388,10.1,49,693,187,161,0.317,0.392,0.509,0.902,0.193,23.5%,8.6%,2.75,2.1%,0.51,40.25,0.405,59.5%,0.388,0.0%,33.90933333333333,0.18133333333333332,16.738883597214897,79.73221862892873
38,1235305472,M. Williams,Max Williams,Williams,Max,CF,Florida State University,FSU,101,Florida State,BBC,L,L,0.416,20.1,57,888,261,234,0.316,0.383,0.598,0.981,0.282,16.1%,7.3%,2.21,7.3%,0.82,12.32,0.316,66.7%,0.416,100.0%,53.41799999999999,0.20466666666666664,19.038963503785677,125.60363876376559
39,1086619809,D. Wentz,Dalton Wentz,Wentz,Dalton,3B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,S,R,0.408,17.3,57,1018,245,212,0.316,0.393,0.566,0.959,0.25,26.9%,10.6%,2.54,5.3%,0.84,16.31,0.397,58.1%,0.408,75.0%,48.50999999999999,0.19799999999999995,18.39903856829424,114.0632842193693
40,1300448256,B. Miller,Ben Miller,Miller,Ben,3B,Duke University,DUKE,730336256,Duke,BBC,R,R,0.432,26.4,61,1118,293,245,0.314,0.413,0.624,1.037,0.31,19.8%,10.6%,1.87,7.2%,0.97,11.67,0.329,64.7%,0.432,100.0%,63.873999999999995,0.21799999999999997,20.348052986348147,150.18920256087392
